,Word,Levenshtein,Soundex,Metaphone
0,ozil,oil,NA,NA
1,opolo,polo,opal,opal
2,rawr,raw,rare,rare
3,bie,bide,be,be
4,wif,waif,waif,waif
5,haha,haha,haha,haha
6,cantik,cant,NA,NA
7,julie,junkie,july,july
8,christie,christ,christ,christ
9,richard,orchard,NA,NA
10,avedon,aeon,NA,NA
11,calum,calm,calm,calm
12,omfg,omen,NA,NA
13,didnt,didnt,didnt,didnt
14,brah,brash,bra,bra
15,psh,posh,posh,posh
16,im,im,im,im
17,syempre,NA,NA,NA
18,hahaha,haha,haha,NA
19,rockin,rocking,reckon,reckon
20,bria,briar,bra,bra
21,exo,expo,ego,NA
22,luhan,lean,lean,NA
23,chanyeol,chancel,channel,NA
24,sehun,shun,shun,NA
25,ukip,skip,NA,NA
26,councilor,councillor,councillor,councillor
27,ireland,ireland,ireland,ireland
28,marvelous,marvellous,marvellous,marvellous
29,lol,loll,loll,loll
30,woulda,would,would,would
31,wa,wad,way,way
32,obvi,obey,obey,NA
33,doesnt,doesnt,doesnt,doesnt
34,grecia,grecian,NA,NA
35,usa,us,us,us
36,spalding,scalding,NA,NA
37,nba,cuba,nab,nab
38,ony,only,on,on
39,tl,taal,taal,taal
40,haru,hard,hare,hare
41,hana,ghana,NA,NA
42,maknae,make,NA,NA
43,jeonguk,NA,NA,NA
44,dremel,drivel,NA,NA
45,sm,sam,sam,sam
46,conor,condor,comer,coiner
47,kelan,elan,NA,clan
48,dundalkcarlingford,NA,NA,NA
49,investisement,NA,NA,NA
50,murs,mrs,mrs,mrs
51,chinois,chins,chins,chins
52,chinese,chinese,chinese,chinese
53,ight,eight,NA,NA
54,heheheh,NA,NA,NA
55,you,you,you,you
56,felin,feline,feline,feline
57,wolfnshepclothing,NA,NA,NA
58,cadbury,NA,NA,NA
59,xd,id,NA,NA
60,galeris,gales,galleries,galleries
61,custa,custard,cast,NA
62,nd,nod,nod,nod
63,taeminho,NA,NA,NA
64,lighstick,lipstick,NA,NA
65,thanku,thank,thank,thank
66,sekret,secret,secret,secret
67,mesage,message,message,message
68,srk,ark,NA,NA
69,salman,salesman,salmon,salmon
70,khan,khan,khan,khan
71,auch,arch,ace,ache
72,hinckley,NA,NA,NA
73,canock,cassock,canoes,NA
74,har,hair,hair,hair
75,zayn,zag,zany,zany
76,nial,denial,nil,nil
77,wouldnt,wouldn't,wouldn't,wouldn't
78,harys,hares,hares,hares
79,omg,omen,omega,omega
80,california,california,california,california
81,seatbelt,NA,NA,NA
82,fuh,fug,fee,fee
83,that,that,that,that
84,mtfs,muffs,motifs,motifs
85,cb,cab,cab,cab
86,havard,hard,NA,NA
87,nordtveit,NA,NA,NA
88,vincent,violent,NA,NA
89,kompany,company,NA,company
90,yaya,maya,NA,NA
91,toure,toured,tore,tore
92,shakira,shakier,shakier,shakier
93,residente,resident,resident,resident
94,cale,cable,call,call
95,gordita,gordian,NA,cordite
96,ctmas,comas,NA,NA
97,wtf,waif,NA,NA
98,ive,ive,ive,ive
99,lundquist,NA,NA,NA
100,rds,reds,reds,reds
101,mayer,maker,mayor,mayor
102,xo,do,NA,so
103,beyonce,beyond,NA,NA
104,miley,mile,mile,mile
105,cyrus,cyprus,chorus,cirrus
106,cedric,centric,citric,citric
107,gervais,germans,NA,NA
108,gon,goon,goon,goon
109,pepa,pa,pep,pep
110,eak,beak,NA,NA
111,men,men,men,men
112,lysha,lyra,lash,NA
113,ol,oil,oil,oil
114,dog,dog,dog,dog
115,godo,god,god,god
116,dm,dam,dam,dam
117,luke,luke,luke,luke
118,hemings,headings,hemming,NA
